Event,Team,Medal,Known As,Athlete ID,NOC,Discipline,Year,Season,Place,Tied Place
"Singles, Handicap, Men (Olympic (non-medal))",,,Laurie Doherty,88,GBR,Tennis,1900,Summer,3.0,True
"Doubles, Handicap, Men (Olympic (non-medal))",Arthur Norris,,Laurie Doherty,88,GBR,Tennis,1900,Summer,5.0,True
"Singles, Men (Olympic)",,,Laurie Doherty,88,GBR,Tennis,1908,Summer,,False
"Singles, Men (Olympic)",,Bronze,Reggie Doherty,89,GBR,Tennis,1900,Summer,3.0,True
"Doubles, Mixed (Olympic)",Charlotte Cooper,Gold,Reggie Doherty,89,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Men (Olympic)",Laurie Doherty,Gold,Reggie Doherty,89,GBR,Tennis,1900,Summer,1.0,False
"Doubles, Handicap, Mixed (Olympic (non-medal))",Hedwig Rosenbaum,,Reggie Doherty,89,GBR,Tennis,1900,Summer,9.0,True
"Singles, Handicap, Men (Olympic (non-medal))",,,Reggie Doherty,89,GBR,Tennis,1900,Summer,2.0,False
"Doubles, Handicap, Men (Olympic (non-medal))",André Prévost,,Reggie Doherty,89,GBR,Tennis,1900,Summer,5.0,True
"Doubles, Men (Olympic)",George Hillyard,Gold,Reggie Doherty,89,GBR,Tennis,1908,Summer,1.0,False
"Singles, Men (Olympic)",,,Desmond Douglas,90,GBR,Table Tennis,1988,Summer,9.0,True
"Doubles, Men (Olympic)",Sky Andrew,,Desmond Douglas,90,GBR,Table Tennis,1988,Summer,9.0,True
"Singles, Men (Olympic)",,Bronze,Wilberforce Eaves,91,GBR,Tennis,1908,Summer,3.0,False
"Doubles, Men (Olympic)",George Ball-Greene,,Wilberforce Eaves,91,GBR,Tennis,1908,Summer,,False
"Singles, Covered Courts, Men (Olympic)",,,Wilberforce Eaves,91,GBR,Tennis,1908,Summer,4.0,False
"Doubles, Covered Courts, Men (Olympic)",George Hillyard,,Wilberforce Eaves,91,GBR,Tennis,1908,Summer,5.0,False
"Singles, Covered Courts, Men (Olympic)",,,Lionel Escombe,92,GBR,Tennis,1908,Summer,7.0,False
"Doubles, Covered Courts, Men (Olympic)",Josiah Ritchie,,Lionel Escombe,92,GBR,Tennis,1908,Summer,4.0,False
"Singles, Women (Olympic)",,,Anne Gibson,93,GBR,Badminton,1996,Summer,33.0,True
"Singles, Men (Olympic)",,,Brian Gilbert,94,GBR,Tennis,1924,Summer,9.0,True
"Doubles, Mixed (Olympic)",Kitty McKane,,Brian Gilbert,94,GBR,Tennis,1924,Summer,4.0,False
"Doubles, Mixed (Olympic)",Phyllis Covell,,Leslie Godfree,95,GBR,Tennis,1924,Summer,5.0,True
"Doubles, Men (Olympic)",Max Woosnam,,Leslie Godfree,95,GBR,Tennis,1924,Summer,29.0,True
"Doubles, Men (Olympic)",Chris Hunt,,Andy Goode,96,GBR,Badminton,1992,Summer,9.0,True
"Singles, Men (Olympic)",,,Arthur Wentworth Gore,97,GBR,Tennis,1908,Summer,,False
"Doubles, Men (Olympic)",Roper Barrett,,Arthur Wentworth Gore,97,GBR,Tennis,1908,Summer,,False
"Singles, Covered Courts, Men (Olympic)",,Gold,Arthur Wentworth Gore,97,GBR,Tennis,1908,Summer,1.0,False
"Doubles, Covered Courts, Men (Olympic)",Roper Barrett,Gold,Arthur Wentworth Gore,97,GBR,Tennis,1908,Summer,1.0,False
